fid,districtID,districtID_old,nameID,district_en,provinceID,province_bahasa,province_en,islandID,island_bahasa,island_en,district_bahasa,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp_2021,gdp_2022,gdp_2023,gdp_2024,gdp_2025
1,1101,1101,simeulue,Simeulue,11,Aceh,Aceh,1,Sumatera,Sumatera,Simeulue,1078.22,1122.21,1180.15,1235.54,1289.1,1344.66,1405.84,1467.98,1530.15,1600.52,1602.41,1657.03,1726.61,1806.62,1886.61,1958.5
2,1102,1102,acehsingkil,Aceh Singkil,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Singkil,1211.05,1263.09,1315.93,1374.98,1426.08,1479.14,1540.65,1600.98,1664.74,1731.17,1713.66,1780.42,1844.65,1909.66,1975.75,2043.19
3,1103,1103,acehselatan,South Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Selatan,2830.61,2953.61,3115.6,3281.36,3429.43,3574.59,3740.29,3887.22,4063.41,4243.4,4241.41,4345.78,4480.84,4639.2,4788.29,4931.74
4,1104,1104,acehtenggara,Southeast Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Tenggara,2337.74,2464.46,2578.09,2704.18,2807.99,2921.13,3044.88,3197.95,3302.24,3442.06,3436.34,3490.16,3584.21,3693.26,3825.99,3939.45
5,1105,1105,acehtimur,East Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Timur,7290.04,7479.29,7677.93,7761.22,7721.42,7259.93,7175.79,7487.53,7802.17,8146.98,8272.64,8433.53,8748.42,8931.14,9344.83,9466.19
6,1106,1106,acehtengah,Central Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Tengah,3970.99,4166.9,4347.74,4584.21,4770.08,4972.05,5200.04,5410.44,5638.96,5836.85,5767.95,5958.12,6252.07,6602.15,6931.25,7139.99
7,1107,1107,acehbarat,West Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Barat,4462.05,4569.07,4594.54,4773.67,4933.84,5160.04,5310.7,6013.22,6622.96,6953.36,7084.15,7498.18,7744,8060.2,8682.52,9068.13
8,1108,1108,acehbesar,Aceh Besar,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Besar,7081.87,7265.11,7549.1,7863.47,8184.46,8513.24,8858.44,9213.4,9561.64,9977.74,10016.81,10261.59,10658.63,11124.02,11675.2,12020.56
9,1109,1109,pidie,Pidie,11,Aceh,Aceh,1,Sumatera,Sumatera,Pidie,5329.05,5550.23,5801.22,6046.95,6290.58,6594.09,6849.96,7152.96,7450.41,7780.36,7770.64,7975.1,8292.69,8619.88,8977.21,9245.75
10,1110,1110,bireuen,Bireuen,11,Aceh,Aceh,1,Sumatera,Sumatera,Bireuen,7126.51,7397.63,7689.71,7999.5,8171.31,8481.9,8824.94,9197.93,9586.14,10065.43,9962.58,10369.98,10821.13,11295.41,11806.51,12191.19
11,1111,1111,acehutara,North Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Utara,17200.43,17867.55,18151.77,17836.61,17195.55,15184.78,15195.57,15544.94,16286.46,16852.7,17017.45,16926.1,17720.06,17810.96,18464.79,18650.83
12,1112,1112,acehbaratdaya,Southwest Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Barat Daya,2236.93,2303.13,2347.15,2401.9,2428.32,2509.31,2623.75,2740.78,2867.19,3003.27,2983.76,3069.8,3188.66,3313.73,3454.39,3596.03
13,1113,1113,gayolues,Gayo Lues,11,Aceh,Aceh,1,Sumatera,Sumatera,Gayo Lues,1389.54,1452.76,1531.66,1590.76,1652.37,1717.27,1788.14,1872.23,1896.15,1920.01,1936.87,1981.88,2051.53,2133.2,2202.73,2248.44
14,1114,1114,acehtamiang,Aceh Tamiang,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Tamiang,4406.76,4474.08,4651.2,4885.62,5002.82,5134.53,5279.64,5491.01,5724.23,5984.42,6009.37,6062.52,6260.93,6402.01,6684.88,6748.29
15,1115,1115,naganraya,Nagan Raya,11,Aceh,Aceh,1,Sumatera,Sumatera,Nagan Raya,4573.88,4693.59,4867.31,5032.7,5204.81,5422.07,5641.78,5864.58,6116.41,6530.5,6749.95,7037.42,7260.23,7756.04,8095.62,8422.99
16,1116,1116,acehjaya,Aceh Jaya,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Jaya,1422.99,1482.24,1541.27,1590.57,1649.33,1710.45,1777,1848.15,1922.74,1994.91,1982.45,2033.84,2108.6,2196.08,2280.16,2352.07
17,1117,1117,benermeriah,Bener Meriah,11,Aceh,Aceh,1,Sumatera,Sumatera,Bener Meriah,2420.61,2528.78,2661.12,2804.61,2929.39,3070.58,3206.52,3337.61,3476.51,3626.65,3629.87,3754.09,3882.43,4085.23,4218.99,4319.32
18,1118,1118,pidiejaya,Pidie Jaya,11,Aceh,Aceh,1,Sumatera,Sumatera,Pidie Jaya,1765.9,1838.92,1918.49,2005.78,2078.51,2179.21,2259.85,2390.84,2501.51,2603.59,2583.13,2635.52,2729.56,2845.17,2974.56,3051.61
19,1171,1171,kotabandaaceh,Banda Aceh City,11,Aceh,Aceh,1,Sumatera,Sumatera,Kota Banda Aceh,10062.08,10518.85,11079.68,11597.23,12118.53,12724.95,13480.11,13937.1,14556.92,15157.98,14644.29,15449.9,16257.33,17079.85,18117.78,18975.8
20,1172,1172,kotasabang,Sabang City,11,Aceh,Aceh,1,Sumatera,Sumatera,Kota Sabang,745.86,774.47,806.88,841.01,875.12,912.99,957.29,1015.38,1075.03,1137.56,1122.89,1152.87,1182.51,1217.54,1268.22,1314.89
21,1173,1173,kotalangsa,Langsa City,11,Aceh,Aceh,1,Sumatera,Sumatera,Kota Langsa,2609.19,2722.52,2851.12,2981.53,3107.82,3244.67,3390.39,3540.72,3694.09,3856.22,3813.19,3962.71,4151.97,4326.98,4518.85,4643.51
22,1174,1174,kotalhokseumawe,Lhokseumawe City,11,Aceh,Aceh,1,Sumatera,Sumatera,Kota Lhokseumawe,9091.25,8873.69,8980.38,8878.22,8222.33,6550.15,6450.41,6591.66,6840.71,7112.68,6984.71,7252.9,7543.74,7861.01,8211.43,8489.95
23,1175,1175,kotasubulussalam,Subulussalam City,11,Aceh,Aceh,1,Sumatera,Sumatera,Kota Subulussalam,901.69,940.71,984.71,1033.53,1086.36,1134.38,1187.58,1246.12,1301.18,1358.69,1385.41,1439,1498.3,1559.06,1623.25,1685.68
24,1201,1201,nias,Nias,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Nias,1562.12,1671.21,1776.05,1888.76,1997.75,2108.04,2214.15,2325.01,2440.16,2563.03,2609.14,2666.86,2748.38,2853.24,2964.34,3072.05
25,1202,1202,mandailingnatal,Mandailing Natal,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Mandailing Natal,5508.5,5844.31,6210.82,6606.44,7034.93,7471.72,7933.13,8416.5,8904.14,9376.46,9288.65,9585.9,10001.97,10494.85,11001.61,11483.68
26,1203,1203,tapanuliselatan,South Tapanuli,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Tapanuli Selatan,5302.51,5637.99,6150.5,7222.61,7543.28,7910.01,8314.69,8748.18,9201.96,9683.66,9721.77,10036.71,10516.04,11053.87,11620.33,12129.95
27,1204,1204,tapanulitengah,Central Tapanuli,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Tapanuli Tengah,4474.32,4702.52,4943.04,5199.02,5460.85,5738.32,6032.21,6348.44,6678.25,7024.15,6970.58,7149.28,7447.83,7762.58,8084.42,8347.56
28,1205,1205,tapanuliutara,North Tapanuli,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Tapanuli Utara,3831.82,4002.4,4198.63,4419.78,4642.33,4869.48,5070.19,5280.69,5510.19,5764.94,5851.4,6058.35,6315.72,6615.95,6931.24,7248.51
29,1206,1206,tobasamosir,Toba Samosir,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Toba Samosir,3633.73,3792.7,3985.21,4178.5,4355.42,4551.51,4767.98,5001.43,5249.25,5503.76,5488.92,5649.1,5888.38,6178.95,6478.13,6743.59
30,1207,1207,labuhanbatu,Labuhan Batu,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Labuhan Batu,14526.19,15355.41,16289.98,17263.41,18165.1,19080.99,20046.02,21048.17,22112.34,23232.71,23252.75,24147.56,25305.99,26579.28,27924.86,29092.77
31,1208,1208,asahan,Asahan,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Asahan,16076.73,16939.7,17872.41,18892.62,20003.08,21116.72,22302.7,23525.35,24844.87,26245.24,26299.57,27279.59,28550.81,29941.33,31341.3,32783.93
32,1209,1209,simalungun,Simalungun,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Simalungun,17011.37,18024.8,19117.54,20122.01,21194.28,22304.11,23508.97,24715.67,25996.21,27348.7,27625.7,28648.78,29990.35,31510.63,33052.35,34616.99
33,1210,1210,dairi,Dairi,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Dairi,4238.25,4447.09,4671,4906.86,5153.83,5413.75,5688.45,5968.81,6267.82,6569.81,6508.05,6641.67,6921.48,7270.26,7631.31,7976.35
34,1211,1211,karo,Karo,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Karo,9231.18,9761.55,10258.34,10765.99,11314.39,11880.93,12494.87,13145.85,13744.17,14376.28,14261.47,14582.33,15197.52,15966.67,16641.17,17345.36
35,1212,1212,deliserdang,Deli Serdang,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Deli Serdang,43040.01,45257.73,47513.87,51896.06,55790.75,58713.67,61839.67,64991.87,68341,71878.69,70596.83,72173.62,75568.66,79603.68,83868.36,87683.33
36,1213,1213,langkat,Langkat,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Langkat,18386,19594.74,20858.68,22029.48,23157.12,24321.61,25533.81,26822.6,28170.08,29597.77,29343.26,30247.39,31665.48,33225.11,34880.49,36311.27
37,1214,1214,niasselatan,South Nias,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Nias Selatan,2802.77,2923.11,3074.46,3217.4,3356.39,3505.19,3659.77,3826.62,4018.74,4221.04,4246.83,4332.63,4466.09,4629.3,4806.33,4952.27
38,1215,1215,humbanghasundutan,Humbang Hasundutan,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Humbang Hasundutan,2652.19,2762.13,2918.18,3085.2,3256.19,3406.8,3577.05,3756.66,3946.12,4141.1,4135.6,4219.14,4396.56,4589.13,4808.86,4991.83
39,1216,1216,pakpakbharat,Pakpak Bharat,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Pakpak Bharat,506.99,537.57,569.86,603.55,639.39,677.43,717.89,760.55,805.01,852.3,850.79,872.4,909.62,956.01,1003.95,1058.92
40,1217,1217,samosir,Samosir,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Samosir,1887.72,1985.57,2105.65,2234.09,2367.1,2503.78,2635.77,2776.85,2931.7,3098.74,3080.43,3162.1,3303.86,3470.05,3644.15,3794.86
41,1218,1218,serdangbedagai,Serdang Bedagai,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Serdang Bedagai,12049.46,12780.06,13558.85,14345.76,15080.38,15841.95,16656.17,17516.43,18421.38,19393.39,19308.46,19863.24,20749.07,21792.07,22883.58,24043.8
42,1219,1219,batubara,Batu Bara,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Batu Bara,16121.04,16946.46,17916.36,18674.62,19458.33,20264.82,21165.04,22034.26,22998.6,23998.59,23923.64,24486.06,25482.21,26522.68,27614.17,28549.99
43,1220,1220,padanglawasutara,North Padang Lawas,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Padang Lawas Utara,4865.14,5199.65,5531.49,5871.51,6228.35,6598.6,6991.66,7378.98,7791.05,8228.45,8322.51,8593.64,8947.63,9387.45,9855.95,10276.52
44,1221,1221,padanglawas,Padang Lawas,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Padang Lawas,4730.4,5020.06,5332.02,5659.62,5997.31,6341.53,6725.98,7110.25,7534.3,7959.31,8053.5,8362.13,8747.96,9197.63,9659.72,10064.06
45,1222,1222,labuhanbatuselatan,South Labuhanbatu,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Labuhan Batu Selatan,11554.52,12249.54,13024.49,13812.09,14546.12,15294.51,16088.42,16907.59,17797.95,18750.16,18899.31,19620.41,20549.86,21565.33,22619.57,23682.47
46,1223,1223,labuhanbatuutara,North Labuhanbatu,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Labuhan Batu Utara,10567.66,11262.26,11978.44,12729.04,13414.53,14109.37,14843.99,15602.05,16413.33,17259.19,17306.59,17969.26,18799.03,19693.28,20527.76,21378.55
47,1224,1224,niasutara,North Nias,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Nias Utara,1451.67,1549.73,1645.93,1750.25,1853.28,1954.12,2043.91,2134.49,2228.75,2332.44,2369.36,2417.2,2490.49,2584.78,2678.92,2769.93
48,1225,1225,niasbarat,West Nias,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Nias Barat,777.77,823.94,877.93,923.29,973.76,1024.93,1074.48,1126.19,1179.91,1236.73,1257.28,1285.7,1324.42,1373.71,1427.11,1458.9
