districtID,district,provinceID,province,islandID,island,grdp_pc_2000,grdp_pc_2001,grdp_pc_2002,grdp_pc_2003,grdp_pc_2004,grdp_pc_2005,grdp_pc_2006,grdp_pc_2007,grdp_pc_2008,grdp_pc_2009,grdp_pc_2010,grdp_pc_2011,grdp_pc_2012,grdp_pc_2013,grdp_pc_2014,grdp_pc_2015,grdp_pc_2016,grdp_pc_2017,grdp_pc_2018,grdp_pc_2019,grdp_pc_2020,grdp_pc_2021,grdp_pc_2022,grdp_pc_2023,grdp_pc_2024
1101,Simeulue,11,Aceh,1,Sumatera," 8,200 "," 9,143 "," 10,002 "," 10,875 "," 9,818 "," 9,697 "," 10,264 "," 10,490 "," 11,603 "," 12,120 "," 13,167 "," 13,409 "," 13,845 "," 14,338 "," 14,715 "," 15,093 "," 15,570 "," 16,066 "," 16,561 "," 16,996 "," 17,297 "," 17,614 "," 18,061 "," 18,602 "," 19,128 "
1102,Aceh Singkil,11,Aceh,1,Sumatera," 8,872 "," 9,333 "," 9,586 "," 10,001 "," 8,958 "," 8,894 "," 10,615 "," 10,868 "," 10,762 "," 11,024 "," 11,490 "," 11,847 "," 12,155 "," 12,488 "," 12,714 "," 12,915 "," 13,200 "," 13,398 "," 13,681 "," 14,178 "," 13,602 "," 13,863 "," 14,096 "," 14,329 "," 14,561 "
1103,Aceh Selatan,11,Aceh,1,Sumatera," 10,679 "," 10,803 "," 10,827 "," 11,083 "," 12,207 "," 11,798 "," 12,193 "," 12,056 "," 12,903 "," 12,842 "," 14,180 "," 14,468 "," 14,802 "," 15,120 "," 15,518 "," 15,896 "," 16,362 "," 16,763 "," 17,283 "," 17,755 "," 18,293 "," 18,542 "," 18,912 "," 19,372 "," 19,787 "
1104,Aceh Tenggara,11,Aceh,1,Sumatera," 7,821 "," 8,545 "," 9,198 "," 9,871 "," 9,720 "," 10,507 "," 10,939 "," 11,630 "," 11,954 "," 12,416 "," 12,861 "," 13,265 "," 13,750 "," 14,082 "," 14,308 "," 14,604 "," 14,892 "," 15,339 "," 15,546 "," 16,143 "," 15,624 "," 15,604 "," 15,768 "," 15,996 "," 16,320 "
1105,Aceh Timur,11,Aceh,1,Sumatera," 20,482 "," 18,423 "," 26,263 "," 34,708 "," 24,863 "," 55,132 "," 56,032 "," 59,292 "," 30,230 "," 28,383 "," 27,640 "," 19,186 "," 19,679 "," 20,095 "," 19,550 "," 18,016 "," 17,448 "," 17,845 "," 18,248 "," 18,951 "," 19,641 "," 19,756 "," 20,226 "," 20,385 "," 21,064 "
1106,Aceh Tengah,11,Aceh,1,Sumatera," 13,212 "," 13,704 "," 14,316 "," 15,056 "," 13,941 "," 17,192 "," 19,809 "," 20,484 "," 20,040 "," 20,148 "," 22,541 "," 23,165 "," 23,706 "," 24,355 "," 24,817 "," 25,356 "," 25,947 "," 26,486 "," 27,045 "," 27,910 "," 26,865 "," 27,342 "," 28,304 "," 29,496 "," 30,569 "
1107,Aceh Barat,11,Aceh,1,Sumatera," 17,006 "," 17,174 "," 17,162 "," 17,533 "," 20,358 "," 19,681 "," 20,811 "," 22,562 "," 24,277 "," 24,669 "," 23,537 "," 24,246 "," 24,944 "," 25,680 "," 25,935 "," 26,627 "," 26,832 "," 29,815 "," 32,155 "," 33,661 "," 35,728 "," 37,408 "," 38,216 "," 39,363 "," 41,896 "
1108,Aceh Besar,11,Aceh,1,Sumatera," 14,089 "," 14,032 "," 14,199 "," 15,321 "," 15,474 "," 16,296 "," 16,940 "," 17,865 "," 20,058 "," 20,981 "," 19,443 "," 19,920 "," 20,396 "," 20,885 "," 21,278 "," 21,685 "," 22,096 "," 22,521 "," 22,913 "," 23,844 "," 24,762 "," 25,009 "," 25,597 "," 26,337 "," 27,262 "
1109,Pidie,11,Aceh,1,Sumatera," 8,804 "," 8,870 "," 8,892 "," 8,518 "," 9,637 "," 9,717 "," 12,331 "," 12,526 "," 12,735 "," 13,133 "," 13,872 "," 14,194 "," 14,538 "," 14,938 "," 15,322 "," 15,742 "," 16,081 "," 16,535 "," 16,966 "," 17,580 "," 17,894 "," 18,168 "," 18,696 "," 19,237 "," 19,837 "
1110,Bireuen,11,Aceh,1,Sumatera," 12,104 "," 12,143 "," 12,308 "," 12,559 "," 13,067 "," 13,790 "," 15,199 "," 15,461 "," 17,404 "," 18,252 "," 17,526 "," 18,096 "," 18,707 "," 19,171 "," 19,299 "," 19,485 "," 19,893 "," 20,294 "," 20,762 "," 21,696 "," 22,869 "," 23,500 "," 24,192 "," 24,921 "," 25,718 "
1111,Aceh Utara,11,Aceh,1,Sumatera," 167,566 "," 121,508 "," 179,858 "," 194,717 "," 166,563 "," 89,246 "," 86,176 "," 75,311 "," 54,960 "," 47,726 "," 45,017 "," 30,559 "," 31,110 "," 31,549 "," 30,013 "," 26,007 "," 25,604 "," 25,798 "," 26,636 "," 27,374 "," 28,292 "," 27,728 "," 28,686 "," 28,502 "," 29,187 "
1112,Aceh Barat Daya,11,Aceh,1,Sumatera," 13,416 "," 13,444 "," 13,393 "," 13,445 "," 14,340 "," 14,069 "," 14,439 "," 14,724 "," 15,313 "," 15,768 "," 16,298 "," 16,738 "," 17,231 "," 17,742 "," 17,576 "," 17,834 "," 18,308 "," 18,808 "," 19,358 "," 20,057 "," 19,857 "," 20,128 "," 20,604 "," 21,108 "," 21,700 "
1113,Gayo Lues,11,Aceh,1,Sumatera," 12,156 "," 12,324 "," 12,517 "," 12,859 "," 12,965 "," 12,933 "," 15,606 "," 16,444 "," 16,793 "," 17,508 "," 17,313 "," 17,757 "," 18,284 "," 18,780 "," 19,151 "," 19,538 "," 19,979 "," 20,569 "," 20,476 "," 20,682 "," 19,548 "," 19,616 "," 19,924 "," 20,339 "," 20,627 "
1114,Aceh Tamiang,11,Aceh,1,Sumatera," 16,254 "," 16,515 "," 16,855 "," 20,002 "," 20,789 "," 31,623 "," 18,482 "," 18,058 "," 18,820 "," 19,108 "," 18,587 "," 16,945 "," 17,497 "," 18,163 "," 18,378 "," 18,450 "," 18,661 "," 19,132 "," 19,663 "," 20,364 "," 20,473 "," 20,384 "," 20,777 "," 20,975 "," 21,597 "
1115,Nagan Raya,11,Aceh,1,Sumatera," 24,130 "," 24,369 "," 24,705 "," 25,256 "," 32,606 "," 29,489 "," 29,391 "," 31,593 "," 32,033 "," 32,856 "," 30,586 "," 31,256 "," 32,244 "," 33,689 "," 34,164 "," 34,965 "," 35,657 "," 36,352 "," 37,186 "," 39,666 "," 40,229 "," 41,383 "," 42,157 "," 44,486 "," 45,886 "
1116,Aceh Jaya,11,Aceh,1,Sumatera," 17,326 "," 17,305 "," 17,436 "," 17,638 "," 20,398 "," 15,616 "," 18,183 "," 17,475 "," 17,025 "," 17,550 "," 18,154 "," 18,548 "," 18,939 "," 19,312 "," 19,147 "," 19,795 "," 20,280 "," 20,622 "," 21,109 "," 21,475 "," 21,360 "," 21,538 "," 21,952 "," 22,492 "," 22,985 "
1117,Bener Meriah,11,Aceh,1,Sumatera," 16,639 "," 17,231 "," 17,790 "," 18,557 "," 17,173 "," 16,641 "," 18,816 "," 19,326 "," 19,503 "," 20,041 "," 19,679 "," 20,234 "," 20,910 "," 21,409 "," 21,856 "," 22,445 "," 22,922 "," 23,418 "," 23,962 "," 24,835 "," 22,630 "," 22,962 "," 23,338 "," 24,142 "," 24,524 "
