fid,districtID,districtID_old,nameID,district_en,provinceID,province_bahasa,province_en,islandID,island_bahasa,island_en,district_bahasa,gfcf_2010,gfcf_2011,gfcf_2012,gfcf_2013,gfcf_2014,gfcf_2015,gfcf_2016,gfcf_2017,gfcf_2018,gfcf_2019,gfcf_2020,gfcf_2021,gfcf_2022,gfcf_2023,gfcf_2024,gfcf_2025
1,1101,1101,simeulue,Simeulue,11,Aceh,Aceh,1,Sumatera,Sumatera,Simeulue,562.07,641.18,684.23,668.66,669.68,677.1,702.59,699.45,708.09,718.48,747.47,751.84,750.28,791.56,803.02,821.87
2,1102,1102,acehsingkil,Aceh Singkil,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Singkil,396.03,423.38,437.67,435.57,457.95,474.31,497.31,519.28,538.33,571.41,592.47,594.23,600.27,629.37,644.61,635.33
3,1103,1103,acehselatan,South Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Selatan,786.18,863.58,938.66,987.88,1048.49,1093.53,1152.48,1196.28,1231.47,1251.88,1283.73,1286.9,1279.79,1365.06,1411.02,1396.16
4,1104,1104,acehtenggara,Southeast Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Tenggara,672.61,721.62,735.68,751.25,837.65,855.04,905.87,930.24,967.25,991.99,1027.93,1036.04,1042.64,1078.77,1124.42,1117.54
5,1105,1105,acehtimur,East Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Timur,1854.01,2110.68,2284.33,2220.69,2375.65,2468.73,2584.75,2651.18,2744,2838.19,2938.62,2973.32,2979.91,2916.88,3093.84,3021.37
6,1106,1106,acehtengah,Central Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Tengah,1729.57,1866.32,1960.98,1993.98,2070.57,2130.72,2180.75,2221.25,2278.65,2325.12,2380.08,2410.3,2361.95,2479.59,2563.93,2505.83
7,1107,1107,acehbarat,West Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Barat,2093.67,2260.89,2319.72,2259.99,2351.2,2441.36,2560.54,2693.61,2790.43,2899.2,2992.9,3013.04,2985.49,3141.71,3323.31,3220.21
8,1108,1108,acehbesar,Aceh Besar,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Besar,2241.71,2496.33,2709.07,2802.47,2968.21,3150.63,3250.08,3289.38,3393.33,3675.46,3865.23,3882.94,3930.1,4146.38,4390.11,4374.28
9,1109,1109,pidie,Pidie,11,Aceh,Aceh,1,Sumatera,Sumatera,Pidie,1387.23,1567.06,1694.15,1690.15,1786.27,1925.45,2052.42,2125.31,2217.54,2373.46,2520.49,2525.77,2545.9,2525.8,2699.18,2615.78
10,1110,1110,bireuen,Bireuen,11,Aceh,Aceh,1,Sumatera,Sumatera,Bireuen,1579.91,1686.56,1816.36,1825.38,1899.99,1992.87,2055.63,2131.52,2209.5,2311.8,2396.61,2422.06,2420.31,2574.18,2681.87,2646.5
11,1111,1111,acehutara,North Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Utara,2881,3092.8,3262.92,3316.11,3568.66,3818.23,4167.92,4352.8,4550.2,4802.87,5048.65,5049.63,4941.69,4938.73,5015.35,4846.5
12,1112,1112,acehbaratdaya,Southwest Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Barat Daya,1052.28,1182.14,1289.57,1360.82,1443.55,1515.62,1593.79,1626.11,1682.34,1782.18,1874.35,1877.57,1879.07,1945.76,1963.52,1784.76
13,1113,1113,gayolues,Gayo Lues,11,Aceh,Aceh,1,Sumatera,Sumatera,Gayo Lues,559.64,632.19,675.32,690.33,733.75,791.48,816.24,808.52,834.24,843.98,866.4,864.59,870.14,887.98,914.73,923
14,1114,1114,acehtamiang,Aceh Tamiang,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Tamiang,1226.73,1449.14,1553.22,1521.75,1585.82,1624.02,1690.43,1730.38,1775.42,1829.19,1862.52,1884.02,1872.93,1927.95,2008.9,1991.79
15,1115,1115,naganraya,Nagan Raya,11,Aceh,Aceh,1,Sumatera,Sumatera,Nagan Raya,1594.4,1765.23,1837.67,1823.12,1944.19,2050.11,2097.15,2112.16,2168,2279.35,2412.18,2443.14,2484.09,2525.49,2524.17,2485.91
16,1116,1116,acehjaya,Aceh Jaya,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Jaya,710.97,802.22,863.96,787.23,835.6,879.79,925.41,978.68,1028.68,1089.53,1126.52,1129.95,1130.12,1169.18,1184.99,1187.39
17,1117,1117,benermeriah,Bener Meriah,11,Aceh,Aceh,1,Sumatera,Sumatera,Bener Meriah,1201.21,1287.87,1378.05,1399.14,1414.31,1480.05,1538.76,1586.28,1638.81,1701.81,1729.49,1749.99,1765.09,1876.41,1950.21,1910.67
18,1118,1118,pidiejaya,Pidie Jaya,11,Aceh,Aceh,1,Sumatera,Sumatera,Pidie Jaya,611.86,690.26,735.44,718.09,754.61,791.17,838.09,897.58,936.32,971.02,992.41,997.93,977.34,973.78,1031.4,1027.55
19,1171,1171,kotabandaaceh,Banda Aceh City,11,Aceh,Aceh,1,Sumatera,Sumatera,Kota Banda Aceh,2719.83,2660.76,2664.99,2662.86,2654.34,3195.61,4872.05,3202.93,3268.98,3292.73,3358.6,3365.07,3365.76,3592.8,3881,3841.21
20,1172,1172,kotasabang,Sabang City,11,Aceh,Aceh,1,Sumatera,Sumatera,Kota Sabang,514.26,550.78,592.69,623.6,662.38,696.75,744.59,755.66,765.04,783.98,774.32,780.12,773.63,773.08,798.7,812.85
21,1173,1173,kotalangsa,Langsa City,11,Aceh,Aceh,1,Sumatera,Sumatera,Kota Langsa,957.36,1034.96,1088.48,1116.75,1158.39,1198.64,1276.4,1319.33,1333.66,1373.64,1428.33,1426.66,1425.91,1490.67,1504.06,1460.94
22,1174,1174,kotalhokseumawe,Lhokseumawe City,11,Aceh,Aceh,1,Sumatera,Sumatera,Kota Lhokseumawe,2063.64,2146.88,2271.08,2382.64,2594.22,3074.34,2947.61,2743.47,2804.5,2956.57,3048.44,3049.79,3045.85,3047.56,3270.12,3304.06
23,1175,1175,kotasubulussalam,Subulussalam City,11,Aceh,Aceh,1,Sumatera,Sumatera,Kota Subulussalam,370.41,408.96,443.7,467.03,489.07,521.78,560.92,576.49,591.61,618.09,646.48,656.4,663.71,694.65,712.56,702.69
24,1201,1201,nias,Nias,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Nias,453.77,473.79,492.04,512.98,531.16,549.08,582.34,617.46,654.39,685.32,687.3,708.71,742.96,781.75,849.44,817.05
25,1202,1202,mandailingnatal,Mandailing Natal,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Mandailing Natal,1548.08,1583.2,1658.15,1704.38,1759.28,1838.02,1935.8,2032.82,2166.83,2312.36,2222.66,2298.77,2382.66,2547.8,2727.61,2651.4
26,1203,1203,tapanuliselatan,South Tapanuli,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Tapanuli Selatan,1919.26,1960.81,2053.36,2139.32,2249.72,2371.89,2498.31,2636.82,2793.55,2981.27,2957.86,3086.54,3201.62,3492.16,3671.48,3685.75
27,1204,1204,tapanulitengah,Central Tapanuli,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Tapanuli Tengah,864.31,899.81,942.55,994.19,1050.77,1115.01,1164.37,1239.74,1321.59,1431.27,1418.17,1468.34,1539.63,1632.37,1657.3,1668.6
28,1205,1205,tapanuliutara,North Tapanuli,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Tapanuli Utara,1052.04,1098.94,1144.38,1231.69,1327.64,1432.53,1548.93,1676.69,1810.91,1968.31,1962.95,2027.55,2100.71,2191.93,2230.7,2234.99
29,1206,1206,tobasamosir,Toba Samosir,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Toba Samosir,837.91,855.72,884.17,898.85,928.66,947.36,969.51,1003.16,1041.91,1096.07,1078.16,1131.41,1194.58,1276.95,1335.95,1338.37
30,1207,1207,labuhanbatu,Labuhan Batu,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Labuhan Batu,3724.42,3758.45,4087.77,4252.26,4414.03,4580.67,4816.45,5100.44,5331.54,5671.56,5447.26,5661.08,5861.72,6183.87,6460.91,6556.29
31,1208,1208,asahan,Asahan,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Asahan,3774.84,3971.74,4392.3,4727.87,5064.38,5352.33,5632.2,6021.58,6458.07,6984.93,6919.75,7216.18,7472.68,7815.85,7868.5,8009.42
32,1209,1209,simalungun,Simalungun,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Simalungun,3866.33,3975.15,4439.53,4797.48,5020.69,5300.94,5600.09,5946.76,6346.4,6633.29,6592.4,6798.29,7039.58,7103.26,7493.29,7703.52
33,1210,1210,dairi,Dairi,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Dairi,994.5,1037.06,1151.85,1249.87,1307.32,1336.87,1404.68,1498.94,1594.25,1690.95,1662.93,1684.39,1724.92,1766.92,1801.93,1819.7
34,1211,1211,karo,Karo,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Karo,2731.94,2894.48,3109.17,3258.35,3441.71,3546.25,3713.2,3952.95,4185.48,4421.01,4388.03,4508.04,4693.08,5061.25,5292.44,5377.4
35,1212,1212,deliserdang,Deli Serdang,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Deli Serdang,13885.71,15079.8,16035.05,17054.49,17836.87,18803.29,19851.9,20839.36,22436.78,24161.12,24156.37,24538.84,25562.75,27255.84,28594.3,28816.65
36,1213,1213,langkat,Langkat,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Langkat,3724.21,4227.61,4436.21,4697.92,4990.37,5061.12,5250.81,5559.51,5890.53,6374.14,6483.08,6755.57,6960.09,7283.54,7504.48,7711.66
