fid,districtID,districtID_old,nameID,district_en,provinceID,province_bahasa,province_en,islandID,island_bahasa,island_en,district_bahasa,gfcf_share_2010,gfcf_share_2011,gfcf_share_2012,gfcf_share_2013,gfcf_share_2014,gfcf_share_2015,gfcf_share_2016,gfcf_share_2017,gfcf_share_2018,gfcf_share_2019,gfcf_share_2020,gfcf_share_2021,gfcf_share_2022,gfcf_share_2023,gfcf_share_2024,gfcf_share_2025
1,1101,1101,simeulue,Simeulue,11,Aceh,Aceh,1,Sumatera,Sumatera,Simeulue,52.13,57.14,57.98,54.12,51.95,50.35,49.98,47.65,46.28,44.89,46.65,45.37,43.45,43.81,42.56,41.96
2,1102,1102,acehsingkil,Aceh Singkil,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Singkil,32.7,33.52,33.26,31.68,32.11,32.07,32.28,32.44,32.34,33.01,34.57,33.38,32.54,32.96,32.63,31.1
3,1103,1103,acehselatan,South Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Selatan,27.77,29.24,30.13,30.11,30.57,30.59,30.81,30.77,30.31,29.5,30.27,29.61,28.56,29.42,29.47,28.31
4,1104,1104,acehtenggara,Southeast Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Tenggara,28.77,29.28,28.54,27.78,29.83,29.27,29.75,29.09,29.29,28.82,29.91,29.68,29.09,29.21,29.39,28.37
5,1105,1105,acehtimur,East Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Timur,25.43,28.22,29.75,28.61,30.77,34,36.02,35.41,35.17,34.84,35.52,35.26,34.06,32.66,33.11,31.92
6,1106,1106,acehtengah,Central Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Tengah,43.56,44.79,45.1,43.5,43.41,42.85,41.94,41.05,40.41,39.84,41.26,40.45,37.78,37.56,36.99,35.1
7,1107,1107,acehbarat,West Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Barat,46.92,49.48,50.49,47.34,47.65,47.31,48.21,44.79,42.13,41.69,42.25,40.18,38.55,38.98,38.28,35.51
8,1108,1108,acehbesar,Aceh Besar,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Besar,31.65,34.36,35.89,35.64,36.27,37.01,36.69,35.7,35.49,36.84,38.59,37.84,36.87,37.27,37.6,36.39
9,1109,1109,pidie,Pidie,11,Aceh,Aceh,1,Sumatera,Sumatera,Pidie,26.03,28.23,29.2,27.95,28.4,29.2,29.96,29.71,29.76,30.51,32.44,31.67,30.7,29.3,30.07,28.29
10,1110,1110,bireuen,Bireuen,11,Aceh,Aceh,1,Sumatera,Sumatera,Bireuen,22.17,22.8,23.62,22.82,23.25,23.5,23.29,23.17,23.05,22.97,24.06,23.36,22.37,22.79,22.72,21.71
11,1111,1111,acehutara,North Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Utara,16.75,17.31,17.98,18.59,20.75,25.15,27.43,28,27.94,28.5,29.67,29.83,27.89,27.73,27.16,25.99
12,1112,1112,acehbaratdaya,Southwest Aceh,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Barat Daya,47.04,51.33,54.94,56.66,59.45,60.4,60.74,59.33,58.68,59.34,62.82,61.16,58.93,58.72,56.84,49.63
13,1113,1113,gayolues,Gayo Lues,11,Aceh,Aceh,1,Sumatera,Sumatera,Gayo Lues,40.28,43.52,44.09,43.4,44.41,46.09,45.65,43.18,44,43.96,44.73,43.62,42.41,41.63,41.53,41.05
14,1114,1114,acehtamiang,Aceh Tamiang,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Tamiang,27.84,32.39,33.39,31.15,31.7,31.63,32.02,31.51,31.02,30.57,30.99,31.08,29.91,30.11,30.05,29.52
15,1115,1115,naganraya,Nagan Raya,11,Aceh,Aceh,1,Sumatera,Sumatera,Nagan Raya,34.86,37.61,37.76,36.23,37.35,37.81,37.17,36.02,35.45,34.9,35.74,34.72,34.22,32.56,31.18,29.51
16,1116,1116,acehjaya,Aceh Jaya,11,Aceh,Aceh,1,Sumatera,Sumatera,Aceh Jaya,49.96,54.12,56.06,49.49,50.66,51.44,52.08,52.95,53.5,54.62,56.82,55.56,53.6,53.24,51.97,50.48
17,1117,1117,benermeriah,Bener Meriah,11,Aceh,Aceh,1,Sumatera,Sumatera,Bener Meriah,49.62,50.93,51.78,49.89,48.28,48.2,47.99,47.53,47.14,46.93,47.65,46.62,45.46,45.93,46.22,44.24
18,1118,1118,pidiejaya,Pidie Jaya,11,Aceh,Aceh,1,Sumatera,Sumatera,Pidie Jaya,34.65,37.54,38.33,35.8,36.31,36.31,37.09,37.54,37.43,37.3,38.42,37.86,35.81,34.23,34.67,33.67
19,1171,1171,kotabandaaceh,Banda Aceh City,11,Aceh,Aceh,1,Sumatera,Sumatera,Kota Banda Aceh,27.03,25.3,24.05,22.96,21.9,25.11,36.14,22.98,22.46,21.72,22.93,21.78,20.7,21.04,21.42,20.24
20,1172,1172,kotasabang,Sabang City,11,Aceh,Aceh,1,Sumatera,Sumatera,Kota Sabang,68.95,71.12,73.45,74.15,75.69,76.32,77.78,74.42,71.16,68.92,68.96,67.67,65.42,63.5,62.98,61.82
21,1173,1173,kotalangsa,Langsa City,11,Aceh,Aceh,1,Sumatera,Sumatera,Kota Langsa,36.69,38.01,38.18,37.46,37.27,36.94,37.65,37.26,36.1,35.62,37.46,36,34.34,34.45,33.28,31.46
22,1174,1174,kotalhokseumawe,Lhokseumawe City,11,Aceh,Aceh,1,Sumatera,Sumatera,Kota Lhokseumawe,22.7,24.19,25.29,26.84,31.55,46.94,45.7,41.62,41,41.57,43.64,42.05,40.38,38.77,39.82,38.92
23,1175,1175,kotasubulussalam,Subulussalam City,11,Aceh,Aceh,1,Sumatera,Sumatera,Kota Subulussalam,41.08,43.47,45.06,45.19,45.02,46,47.23,46.26,45.47,45.49,46.66,45.62,44.3,44.56,43.9,41.69
24,1201,1201,nias,Nias,12,Sumatera Utara,North Sumatera,1,Sumatera,Sumatera,Nias,29.05,28.35,27.7,27.16,26.59,26.05,26.3,26.56,26.82,26.74,26.34,26.57,27.03,27.4,28.66,26.6
