fid,districtID,districtID_old,nameID,district_en,provinceID,province,islandID,island,district_bahasa,gs_2010,gs_2011,gs_2012,gs_2013,gs_2014,gs_2015,gs_2016,gs_2017,gs_2018,gs_2019,gs_2020,gs_2021,gs_2022,gs_2023,gs_2024,gs_2025
1,1101,1101,simeulue,Simeulue,11,Aceh,1,Sumatera,Simeulue,388.63,404.25,435.52,452.38,475.83,499.43,504.32,515.02,526.79,540.36,487.92,500.97,487.78,486.73,485.57,443.35
2,1102,1102,acehsingkil,Aceh Singkil,11,Aceh,1,Sumatera,Aceh Singkil,496.41,499.27,516.24,531.72,523.9,535.33,537.31,538.29,542.88,550.35,501.41,532.09,520.77,524.81,569.1,514.56
3,1103,1103,acehselatan,South Aceh,11,Aceh,1,Sumatera,Aceh Selatan,622.84,637.63,695.34,740.35,753.64,755.86,756.36,773.24,781.27,821.59,721.99,764.77,713.58,701,728.83,660.18
4,1104,1104,acehtenggara,Southeast Aceh,11,Aceh,1,Sumatera,Aceh Tenggara,664.19,684.67,680.65,718.12,744.2,780.3,788,775.47,768.49,839.55,789.21,823.51,822.79,776.39,852.3,780.89
5,1105,1105,acehtimur,East Aceh,11,Aceh,1,Sumatera,Aceh Timur,862.03,877.64,906.15,936.99,990.87,1005.47,1006.37,1015.83,1003.87,1033.48,957.88,990.93,916.7,910.23,1008.55,938.46
6,1106,1106,acehtengah,Central Aceh,11,Aceh,1,Sumatera,Aceh Tengah,650.4,673.63,702.88,751.74,801.97,853.75,854.69,858.96,874.09,915.29,804.75,836.81,796.38,793.54,900.38,898.85
7,1107,1107,acehbarat,West Aceh,11,Aceh,1,Sumatera,Aceh Barat,625.26,635.9,651.52,667.61,702.94,753.44,726.28,751.03,762.74,810.04,748.95,778.54,755.27,789.71,836.61,818.14
8,1108,1108,acehbesar,Aceh Besar,11,Aceh,1,Sumatera,Aceh Besar,996.87,1017.79,1092.67,1165.98,1206.81,1245.74,1197.63,1225.96,1236.8,1332.85,1260.26,1355.09,1346.06,1301.99,1425.24,1308.89
9,1109,1109,pidie,Pidie,11,Aceh,1,Sumatera,Pidie,1068.62,1117.19,1166.14,1243.2,1295.64,1346.8,1348,1365.4,1367.77,1410.96,1307.67,1401.71,1393.93,1349.09,1444.37,1378.67
10,1110,1110,bireuen,Bireuen,11,Aceh,1,Sumatera,Bireuen,820.03,863.27,921.56,995.04,1068.53,1136.51,1138.94,1163.52,1182.38,1222.48,1136.66,1173.29,1129.19,1108.02,1216.03,1231.62
11,1111,1111,acehutara,North Aceh,11,Aceh,1,Sumatera,Aceh Utara,1771.48,1802.38,1891.33,1959.54,2008.74,2124.64,2072.16,2102.05,2144.59,2221.18,2039.63,2040.61,2042.19,2020.75,2120.71,2183.75
12,1112,1112,acehbaratdaya,Southwest Aceh,11,Aceh,1,Sumatera,Aceh Barat Daya,404.16,428.83,449.91,476.79,503.82,528.74,530.85,542.56,552.35,589.01,530.49,559.67,522.04,519.65,553.26,503.03
13,1113,1113,gayolues,Gayo Lues,11,Aceh,1,Sumatera,Gayo Lues,394.94,419.9,444.84,500.76,500.83,519.99,493.6,506.64,514.43,539.18,496.7,511.26,485.16,483.15,506.77,477.94
14,1114,1114,acehtamiang,Aceh Tamiang,11,Aceh,1,Sumatera,Aceh Tamiang,560.77,567.77,602.98,633.9,659.63,694.59,672.65,688.55,690.36,710.91,663.95,695.34,686.22,660.64,686.26,656.3
15,1115,1115,naganraya,Nagan Raya,11,Aceh,1,Sumatera,Nagan Raya,537.29,556.38,578.54,591.71,617.72,645.95,649.31,655.84,661.59,707.89,646.5,662.4,627.15,662.16,709.54,657.03
16,1116,1116,acehjaya,Aceh Jaya,11,Aceh,1,Sumatera,Aceh Jaya,446.08,453.84,490.14,519.55,553.5,560.54,572.98,579.15,582.35,604.21,567.91,595.02,562.9,555.38,594.83,594.99
17,1117,1117,benermeriah,Bener Meriah,11,Aceh,1,Sumatera,Bener Meriah,474.83,498.36,518.82,561.95,590.75,632.19,592.9,612.71,631.67,655.45,628.12,653.12,643.12,647.79,673.89,636.64
18,1118,1118,pidiejaya,Pidie Jaya,11,Aceh,1,Sumatera,Pidie Jaya,351.54,373.12,394.97,418.27,447.66,468.38,477.69,489.2,498.73,525.42,487.93,528.64,525.76,506.88,550.93,517.48
19,1171,1171,kotabandaaceh,Banda Aceh City,11,Aceh,1,Sumatera,Kota Banda Aceh,5290.89,5320.21,5733.05,6004.8,6288.72,6602.29,5077.27,5245.82,5346.35,5659.32,5271.88,5427.29,5110.77,5161.62,5951.47,6050.61
20,1172,1172,kotasabang,Sabang City,11,Aceh,1,Sumatera,Kota Sabang,572.15,587.21,629.81,663.4,673.17,711.56,694.34,709.78,693.59,699.96,629.59,636.48,602.76,604.64,603.26,580.76
21,1173,1173,kotalangsa,Langsa City,11,Aceh,1,Sumatera,Kota Langsa,518.35,533.59,564.7,594.74,629.65,672.62,677.72,682.67,679.49,697.64,627.28,653.72,612.44,634.78,694.43,652.09
22,1174,1174,kotalhokseumawe,Lhokseumawe City,11,Aceh,1,Sumatera,Kota Lhokseumawe,805.16,818.73,852.66,901.42,923.75,966.7,806.99,812.42,828.06,886.22,835.94,880.76,832.65,844.56,954.66,1006.84
23,1175,1175,kotasubulussalam,Subulussalam City,11,Aceh,1,Sumatera,Kota Subulussalam,249.27,273.2,286.31,302.86,320.4,337.32,337.64,350.54,357.52,386.17,370.18,384.87,375.57,370.47,397.62,360.71
24,1201,1201,nias,Nias,12,Sumatera Utara,1,Sumatera,Nias,375.75,392.28,408.34,431.07,454.82,473.55,501.72,529.32,558.99,587.57,598.06,597.35,600.07,645.01,657.11,659.29
25,1202,1202,mandailingnatal,Mandailing Natal,12,Sumatera Utara,1,Sumatera,Mandailing Natal,1023.33,1086.47,1156.12,1232.32,1323.28,1417.88,1443.74,1492.62,1511.96,1519.39,1487.33,1541.42,1533.05,1607.57,1673.78,1556.76
26,1203,1203,tapanuliselatan,South Tapanuli,12,Sumatera Utara,1,Sumatera,Tapanuli Selatan,622.33,681.31,733.45,794.93,844.26,884.51,926.26,975.17,982.79,999.47,985.08,967.55,995.22,1052.68,1102.73,1141.89
27,1204,1204,tapanulitengah,Central Tapanuli,12,Sumatera Utara,1,Sumatera,Tapanuli Tengah,670.9,682.39,698.26,715.33,734.05,757.32,768.08,785.83,800.68,804.18,803.08,787.72,784.22,758.28,818.07,815.68
28,1205,1205,tapanuliutara,North Tapanuli,12,Sumatera Utara,1,Sumatera,Tapanuli Utara,768.92,772.8,784.28,811.94,836.79,863.67,884.69,894.52,911.15,914.59,906.99,914.57,913.2,955.7,1000.57,1011.9
29,1206,1206,tobasamosir,Toba Samosir,12,Sumatera Utara,1,Sumatera,Toba Samosir,635.42,661.23,698.74,725.44,754.35,782.15,794.23,813.12,832.41,843.72,841.79,841.45,849.81,880.27,908.08,914.55
30,1207,1207,labuhanbatu,Labuhan Batu,12,Sumatera Utara,1,Sumatera,Labuhan Batu,737.51,761.99,790.61,800.73,807.25,845.69,866.41,897.18,906.39,912.42,884.68,910.03,892.01,930.77,949.13,933.07
31,1208,1208,asahan,Asahan,12,Sumatera Utara,1,Sumatera,Asahan,1118.04,1119.58,1129.21,1337.37,1453.45,1503.68,1523.47,1588.54,1677.69,1685.09,1651.54,1649.3,1638,1689.93,1742.99,1798.98
32,1209,1209,simalungun,Simalungun,12,Sumatera Utara,1,Sumatera,Simalungun,1787.37,1827.88,1873.22,1722.66,1727.13,1751.15,1762.85,1782.93,1794.16,1845.22,1704.06,1732.4,1784.19,1921.63,1967.2,2010.08
33,1210,1210,dairi,Dairi,12,Sumatera Utara,1,Sumatera,Dairi,643.44,669.87,709.02,747.88,758.17,781.15,811.45,849.31,900.15,916.78,901.29,896.12,900.04,923.15,940.71,940.65
34,1211,1211,karo,Karo,12,Sumatera Utara,1,Sumatera,Karo,800.16,861.63,909.18,977.6,1008.15,1028.67,1024.15,1091.71,1123.42,1130.13,1127.02,1111.95,1120.61,1147.55,1152.7,1074.85
35,1212,1212,deliserdang,Deli Serdang,12,Sumatera Utara,1,Sumatera,Deli Serdang,1855.99,1989.66,2066.95,2091.83,2122.3,2160.96,2120.47,2224.23,2291.42,2298.1,2288.11,2282.96,2315.25,2440.97,2635.67,2673.24
36,1213,1213,langkat,Langkat,12,Sumatera Utara,1,Sumatera,Langkat,1687.79,1732.82,1801.49,1823.1,1866.52,1916.07,1871.51,1925.08,1940.9,1956.81,1940.93,1994.21,1990.94,2120.26,2288.58,2281.66
37,1214,1214,niasselatan,South Nias,12,Sumatera Utara,1,Sumatera,Nias Selatan,572.47,587.62,613,663.46,718.96,775.24,845.96,901.04,961.83,1031.86,1045.17,1041.04,1038.43,1059.28,1098,1089.51
