ID_ADMIN,districtID,district,provinceID,province,islandID,island,COORD_X,COORD_Y,year,product,count,mean,median,sum,min,max,std,filename
IDN_0001,1101,Simeulue,11,Aceh,1,Sumatera,96.149693,2.614277,1992,LACC,1840,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0002,1102,Aceh Singkil,11,Aceh,1,Sumatera,97.424104,2.231723,1992,LACC,1872,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0003,1103,Aceh Selatan,11,Aceh,1,Sumatera,97.404549,3.179248,1992,LACC,4208,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0004,1104,Aceh Tenggara,11,Aceh,1,Sumatera,97.72423,3.317918,1992,LACC,4154,0.020221473,0,84,0,8,0.337904484,data/LACC/LACC_1992_COG.tif
IDN_0005,1105,Aceh Timur,11,Aceh,1,Sumatera,97.757974,4.782638,1992,LACC,5440,0.641727941,0,3491,0,57,4.268444573,data/LACC/LACC_1992_COG.tif
IDN_0006,1106,Aceh Tengah,11,Aceh,1,Sumatera,96.825536,4.60865,1992,LACC,4703,0.011482033,0,54,0,9,0.279492558,data/LACC/LACC_1992_COG.tif
IDN_0007,1107,Aceh Barat,11,Aceh,1,Sumatera,96.181855,4.407282,1992,LACC,2809,0.024563902,0,69,0,11,0.445420946,data/LACC/LACC_1992_COG.tif
IDN_0008,1108,Aceh Besar,11,Aceh,1,Sumatera,95.27568,5.5578,1992,LACC,2903,0.179469514,0,521,0,19,1.218682276,data/LACC/LACC_1992_COG.tif
IDN_0009,1109,Pidie,11,Aceh,1,Sumatera,95.910369,5.340867,1992,LACC,2976,0.023857527,0,71,0,8,0.357948397,data/LACC/LACC_1992_COG.tif
IDN_0010,1110,Bireuen,11,Aceh,1,Sumatera,96.710478,5.2065,1992,LACC,1760,0.373295455,0,657,0,15,1.653464834,data/LACC/LACC_1992_COG.tif
IDN_0011,1111,Aceh Utara,11,Aceh,1,Sumatera,97.213656,5.135366,1992,LACC,2707,3.386775028,0,9168,0,61,8.518131784,data/LACC/LACC_1992_COG.tif
IDN_0012,1112,Aceh Barat Daya,11,Aceh,1,Sumatera,96.802107,3.797134,1992,LACC,1895,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0013,1113,Gayo Lues,11,Aceh,1,Sumatera,97.469092,4.03463,1992,LACC,5450,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0014,1114,Aceh Tamiang,11,Aceh,1,Sumatera,98.15156,4.357463,1992,LACC,2143,3.592160523,0,7698,0,62,10.33344105,data/LACC/LACC_1992_COG.tif
IDN_0015,1115,Nagan Raya,11,Aceh,1,Sumatera,96.50698,4.072286,1992,LACC,3426,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0016,1116,Aceh Jaya,11,Aceh,1,Sumatera,95.547034,4.969336,1992,LACC,3880,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0017,1117,Bener Meriah,11,Aceh,1,Sumatera,96.900052,4.769155,1992,LACC,1940,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0018,1118,Pidie Jaya,11,Aceh,1,Sumatera,96.204338,5.189895,1992,LACC,965,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0019,1171,Kota Banda Aceh,11,Aceh,1,Sumatera,95.319202,5.560497,1992,LACC,55,20.54545455,20,1130,0,38,10.06310666,data/LACC/LACC_1992_COG.tif
IDN_0020,1172,Kota Sabang,11,Aceh,1,Sumatera,95.288514,5.85758,1992,LACC,127,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0021,1173,Kota Langsa,11,Aceh,1,Sumatera,98.03438,4.52458,1992,LACC,217,3.548387097,0,770,0,26,6.835035097,data/LACC/LACC_1992_COG.tif
IDN_0022,1174,Kota Lhokseumawe,11,Aceh,1,Sumatera,97.115492,5.193125,1992,LACC,135,32.56296296,29,4396,0,62,20.98592382,data/LACC/LACC_1992_COG.tif
IDN_0023,1175,Kota Subulussalam,11,Aceh,1,Sumatera,97.939432,2.698991,1992,LACC,1169,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0024,1201,Nias,12,Sumatera Utara,1,Sumatera,97.728124,1.032599,1992,LACC,867,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0025,1202,Mandailing Natal,12,Sumatera Utara,1,Sumatera,99.323526,0.871063,1992,LACC,6546,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0026,1203,Tapanuli Selatan,12,Sumatera Utara,1,Sumatera,99.253033,1.489893,1992,LACC,4136,0.002659574,0,11,0,6,0.106567176,data/LACC/LACC_1992_COG.tif
IDN_0027,1204,Tapanuli Tengah,12,Sumatera Utara,1,Sumatera,98.832413,1.638032,1992,LACC,2323,0.020662936,0,48,0,20,0.514536089,data/LACC/LACC_1992_COG.tif
IDN_0028,1205,Tapanuli Utara,12,Sumatera Utara,1,Sumatera,99.172731,1.969673,1992,LACC,3703,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0029,1206,Toba,12,Sumatera Utara,1,Sumatera,99.308314,2.428701,1992,LACC,2153,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0030,1207,Labuhanbatu,12,Sumatera Utara,1,Sumatera,100.129645,2.486125,1992,LACC,2738,0.15193572,0,416,0,29,1.627780505,data/LACC/LACC_1992_COG.tif
IDN_0031,1208,Asahan,12,Sumatera Utara,1,Sumatera,99.751998,2.941528,1992,LACC,3773,0.165385635,0,624,0,31,1.598667561,data/LACC/LACC_1992_COG.tif
IDN_0032,1209,Simalungun,12,Sumatera Utara,1,Sumatera,99.096021,3.003946,1992,LACC,4407,0.019287497,0,85,0,16,0.410703339,data/LACC/LACC_1992_COG.tif
IDN_0033,1210,Dairi,12,Sumatera Utara,1,Sumatera,98.278071,2.876307,1992,LACC,1995,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0034,1211,Karo,12,Sumatera Utara,1,Sumatera,98.304595,3.117503,1992,LACC,2170,0.113364055,0,246,0,15,0.987038685,data/LACC/LACC_1992_COG.tif
IDN_0035,1212,Deli Serdang,12,Sumatera Utara,1,Sumatera,98.729249,3.641347,1992,LACC,2603,5.373031118,0,13986,0,61,9.176185307,data/LACC/LACC_1992_COG.tif
IDN_0036,1213,Langkat,12,Sumatera Utara,1,Sumatera,98.30912,4.030816,1992,LACC,6234,3.011068335,0,18771,0,61,9.217684635,data/LACC/LACC_1992_COG.tif
IDN_0037,1214,Nias Selatan,12,Sumatera Utara,1,Sumatera,98.285713,0.046055,1992,LACC,2504,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0038,1215,Humbang Hasundutan,12,Sumatera Utara,1,Sumatera,98.601861,2.273246,1992,LACC,2538,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0039,1216,Pakpak Bharat,12,Sumatera Utara,1,Sumatera,98.234614,2.549157,1992,LACC,1326,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
IDN_0040,1217,Samosir,12,Sumatera Utara,1,Sumatera,98.752197,2.562488,1992,LACC,1237,0,0,0,0,0,0,data/LACC/LACC_1992_COG.tif
